"x"	"y"	"l1_1"	"l1_2"	"l2_1"	"l2_2"	"l3_1"	"l3_2"	"l4_1"	"l4_2"	"l5_1"	"l5_2"	"l6_1"	"l6_2"	"l7_1"	"l7_2"	"l8_1"	"l8_2"	"l9_1"	"l9_2"	"l10_1"	"l10_2"	"age"	"parent1"	"parent2"
313	290	7	7	8	6	3	4	7	8	4	7	3	6	7	4	8	1	4	5	6	4	27	0	0
483	296	2	7	2	2	4	1	7	6	4	1	3	5	4	1	1	6	4	7	5	2	27	0	0
485	317	2	7	2	2	6	3	7	6	4	4	3	4	4	7	1	7	4	4	5	6	27	0	0
64	96	8	4	5	3	8	4	8	9	4	1	3	4	1	4	4	7	5	6	6	5	26	0	0
200	310	5	7	3	2	6	1	4	2	3	1	4	3	6	4	1	7	6	6	5	6	26	0	0
217	306	6	7	3	2	6	1	4	7	3	3	5	4	6	2	1	5	6	2	2	1	24	0	0
225	318	7	2	6	2	2	4	3	9	2	8	4	3	8	4	7	7	6	6	2	5	24	0	0
205	326	7	7	6	6	2	1	6	2	7	1	4	7	8	4	7	7	6	6	2	5	11	0	0
202	312	7	7	6	6	6	3	6	9	2	3	3	4	5	1	7	1	7	6	2	5	22	0	0
208	306	8	4	6	6	6	3	3	9	7	2	3	6	8	6	7	6	7	7	2	7	21	0	0
207	362	7	8	6	2	6	3	6	3	7	3	3	7	5	1	7	4	7	6	2	5	20	0	0
205	292	7	7	6	2	2	4	6	7	2	7	3	6	8	4	7	8	7	2	2	4	20	0	0
490	327	6	5	2	2	6	7	6	2	3	1	3	4	4	6	1	5	4	2	5	6	20	0	0
59	151	4	2	6	6	3	6	9	6	4	8	6	3	6	7	7	5	7	4	5	6	20	0	0
20	144	4	8	6	2	3	7	9	6	4	3	7	7	6	1	7	8	7	6	5	5	20	0	0
28	219	2	7	6	6	5	3	7	2	4	7	2	3	1	6	4	6	4	5	5	1	20	0	0
59	194	2	7	6	6	5	8	7	9	4	2	2	7	1	5	4	7	4	6	2	2	20	0	0
228	339	7	2	6	6	1	3	6	6	2	4	1	3	5	4	4	7	6	7	5	4	19	0	0
232	394	8	7	6	2	8	3	6	6	2	3	3	2	4	1	4	6	6	6	5	5	17	0	0
333	292	2	7	5	6	1	2	2	6	1	3	3	7	8	4	5	5	4	7	5	2	18	0	0
351	327	2	8	5	6	6	5	2	7	7	4	3	6	1	6	5	5	4	3	5	2	18	0	0
320	311	7	7	5	6	3	4	2	7	1	8	3	6	4	4	5	7	6	5	5	2	17	0	0
357	314	7	2	3	5	3	6	2	3	1	8	6	3	7	1	2	5	6	5	6	6	16	0	0
304	314	6	2	3	6	3	6	8	6	1	7	6	3	7	1	2	6	6	6	5	6	16	0	0
319	337	6	8	3	2	3	7	8	6	1	4	3	7	4	4	2	7	3	6	6	5	16	0	0
310	292	8	5	6	6	6	6	6	8	8	1	6	4	6	4	5	7	7	7	1	1	20	0	0
297	280	2	4	6	6	6	8	6	6	7	3	6	5	7	6	5	8	7	9	6	2	16	0	0
87	60	7	2	2	3	6	4	6	6	7	1	3	3	2	4	6	7	5	6	4	5	15	0	0
53	104	7	2	2	5	8	6	6	2	7	7	3	3	1	1	6	5	5	4	2	5	21	0	0
85	117	7	4	5	6	6	7	8	2	4	3	6	5	1	7	6	6	5	6	2	5	15	0	0
24	81	2	7	6	3	8	6	8	7	8	7	7	3	1	7	4	5	5	7	6	1	15	0	0
46	82	2	4	6	6	6	3	8	9	8	2	7	7	1	6	4	7	5	7	6	5	14	0	0
298	192	4	2	2	6	6	5	6	6	7	3	6	7	6	6	2	7	5	7	4	7	14	0	0
73	204	7	2	6	6	7	3	2	6	4	3	7	7	4	4	7	4	6	6	5	7	24	0	0
101	202	8	7	6	8	7	3	2	6	4	3	7	4	1	7	8	5	6	6	7	5	13	0	0
132	199	8	8	6	6	7	6	6	8	3	8	7	3	4	4	8	4	6	5	7	6	24	0	0
117	39	7	7	2	6	4	4	3	2	8	4	6	3	6	7	8	8	5	2	4	5	25	0	0
93	18	7	8	2	6	7	6	3	2	7	8	6	3	6	1	8	5	5	4	6	6	13	0	0
119	40	7	5	2	6	7	6	3	8	7	4	1	7	2	1	2	4	5	5	4	1	12	0	0
121	190	8	8	3	2	3	3	6	9	7	7	6	7	4	4	7	4	6	4	5	5	26	0	0
110	189	2	8	3	2	5	6	6	9	4	4	3	7	4	1	7	7	7	7	5	6	26	0	0
83	217	8	8	6	6	5	8	2	2	4	7	6	3	2	1	5	4	9	6	5	7	27	0	0
80	210	2	8	6	6	7	1	7	6	4	2	6	1	2	5	7	4	9	6	5	2	12	0	0
79	156	5	7	2	5	5	6	3	3	3	1	5	3	6	6	6	7	7	7	5	6	28	0	0
109	180	5	7	6	3	7	7	6	4	3	7	6	3	4	7	6	6	6	6	5	7	28	0	0
88	183	5	7	6	5	5	6	3	3	4	4	5	3	6	1	6	5	7	7	5	2	28	0	0
358	173	7	7	2	3	3	6	6	6	3	4	3	3	1	7	6	5	5	6	1	1	29	0	0
114	93	7	6	2	3	8	3	2	8	4	1	6	6	6	4	8	5	2	3	2	5	11	0	0
116	42	4	2	6	6	7	4	8	7	7	7	3	3	6	4	8	7	2	3	2	4	30	0	0
66	49	2	8	5	2	6	2	3	9	8	1	3	3	6	4	5	6	7	3	2	2	10	0	0
60	52	7	2	6	6	6	3	3	6	8	4	3	3	1	4	1	7	5	7	2	4	83	0	0
55	89	7	7	6	6	6	3	3	7	4	4	3	3	6	7	1	8	5	7	6	6	31	0	0
77	56	7	8	6	2	6	6	3	9	8	4	3	6	1	4	1	1	7	6	6	5	59	0	0
90	55	7	7	6	2	6	4	3	3	8	1	3	2	1	2	1	8	7	2	6	2	45	0	0
233	302	4	4	3	6	5	7	6	6	1	3	4	5	7	6	7	8	7	9	2	5	43	0	0
311	142	4	4	6	6	3	3	9	3	7	1	6	4	1	4	2	1	7	5	6	4	34	0	0
301	126	8	7	6	2	3	5	9	6	4	3	7	2	6	7	7	6	7	2	5	4	40	0	0
229	319	7	2	6	8	2	5	6	7	1	4	5	2	1	4	7	7	2	6	2	7	35	0	0
339	235	2	7	6	5	6	6	2	2	2	7	7	6	5	7	7	5	6	3	2	6	34	0	0
323	351	8	6	6	6	8	6	2	6	2	3	3	3	2	4	1	1	7	6	1	5	38	0	0
304	154	4	4	3	6	3	5	3	3	1	4	4	6	7	6	1	8	5	7	4	6	33	0	0
293	361	6	8	6	6	5	3	4	2	7	7	6	7	4	1	1	4	4	6	1	7	32	0	0
343	356	6	4	6	6	5	3	4	6	4	4	3	7	2	4	1	4	7	6	1	7	31	0	0
214	283	7	2	6	6	3	6	6	3	3	4	7	7	4	5	7	6	7	6	5	5	41	0	0
331	287	7	4	6	6	6	6	6	3	7	1	3	4	7	4	1	1	7	5	5	1	42	0	0
315	307	7	2	3	5	1	4	7	7	7	7	3	4	7	1	5	8	7	6	5	4	29	0	0
193	329	7	2	2	6	2	5	7	6	3	4	4	3	6	4	7	8	4	6	6	4	27	0	0
190	313	7	8	2	3	2	5	2	6	3	1	4	7	7	7	7	6	7	7	2	5	27	0	0
485	387	6	8	3	6	7	6	6	2	7	4	3	3	4	1	2	4	7	6	6	7	27	0	0
135	63	7	2	2	5	4	6	7	7	7	1	2	3	4	8	8	5	2	4	4	1	26	0	0
134	49	7	4	2	6	4	7	7	8	7	7	2	6	4	6	8	7	2	9	4	2	26	0	0
69	78	4	4	6	2	3	8	9	2	4	7	3	3	4	2	4	1	5	4	7	5	24	0	0
275	301	2	8	6	6	4	8	7	6	8	4	3	1	6	5	7	4	7	6	5	2	24	0	0
295	311	7	2	6	8	4	3	2	2	8	3	7	3	6	7	8	5	2	6	5	5	22	0	0
180	331	2	4	6	6	3	3	6	8	4	7	7	7	6	6	8	6	7	7	7	2	22	0	0
190	337	5	2	6	5	5	6	6	9	3	8	3	6	6	1	7	4	6	7	4	7	21	0	0
180	326	5	4	6	2	5	5	6	3	3	3	7	2	4	7	7	7	6	5	7	4	20	0	0
209	328	2	7	6	3	5	7	6	6	3	7	7	3	4	4	8	7	6	6	4	7	20	0	0
214	327	4	4	6	3	8	5	6	6	4	4	3	4	6	7	7	6	6	6	5	5	20	0	0
175	342	7	2	6	5	8	3	6	9	3	2	6	7	6	1	5	4	6	7	5	7	20	0	0
301	266	4	2	6	3	6	3	3	6	3	7	3	3	5	7	6	6	6	6	5	7	20	0	0
474	345	7	4	5	6	4	6	7	9	7	7	4	7	2	1	5	2	2	7	1	6	20	0	0
271	152	4	7	2	6	5	3	8	6	3	3	6	7	4	4	6	7	7	6	5	2	20	0	0
326	263	8	7	6	2	5	7	2	2	3	3	4	4	7	6	7	5	7	7	6	2	19	0	0
226	336	2	5	6	3	8	2	6	3	7	1	3	3	4	7	4	7	6	7	2	1	18	0	0
267	339	2	7	2	5	8	6	6	7	7	1	1	3	2	8	4	1	6	4	4	5	18	0	0
249	337	2	7	2	8	8	1	6	7	2	4	3	4	4	7	4	5	5	7	4	6	18	0	0
257	335	2	5	2	3	6	2	6	3	7	1	1	3	2	7	4	7	6	7	2	1	17	0	0
274	282	7	7	2	2	1	1	8	7	4	3	7	4	1	4	7	8	6	2	6	2	16	0	0
91	192	8	4	6	6	8	3	6	3	4	3	7	3	1	4	1	6	6	6	7	5	16	0	0
70	175	8	7	6	6	6	6	6	9	4	2	3	7	4	1	1	7	6	9	5	2	16	0	0
50	190	6	7	6	2	6	7	6	6	4	1	3	3	1	4	1	5	6	6	5	6	16	0	0
82	194	6	8	6	6	8	5	6	7	4	4	7	4	4	2	1	7	6	3	5	5	16	0	0
54	175	6	4	6	6	6	3	6	2	4	2	3	7	1	6	4	7	6	7	5	7	15	0	0
265	335	2	4	5	5	1	3	6	8	1	2	3	7	8	1	1	4	7	7	6	7	15	0	0
285	178	2	2	6	6	4	5	8	6	7	4	3	7	4	4	1	7	5	7	2	7	15	0	0
445	369	8	6	2	6	3	6	3	7	7	4	7	6	1	6	4	1	6	6	5	5	15	0	0
436	363	8	7	5	6	3	1	9	6	3	4	7	3	1	7	4	1	6	6	5	1	14	0	0
431	330	8	2	5	2	6	4	3	9	3	4	7	3	4	6	7	7	6	6	5	5	14	0	0
168	66	7	2	2	6	5	6	6	2	3	8	6	3	7	6	7	8	6	2	5	5	14	0	0
108	77	7	7	2	6	5	4	6	8	3	8	6	6	7	4	7	1	2	3	4	2	13	0	0
117	66	7	7	2	2	5	4	6	3	3	7	6	2	1	2	7	8	6	2	4	2	13	0	0
265	179	4	7	2	3	5	2	8	6	8	1	4	4	4	6	7	7	5	6	4	6	13	0	0
307	175	2	4	6	8	5	5	8	6	3	2	4	7	1	1	7	5	5	7	2	2	13	0	0
91	2	7	2	2	3	7	3	6	6	4	7	6	3	6	2	7	2	7	6	5	7	12	0	0
90	32	7	7	6	2	3	3	3	8	4	1	6	3	4	4	2	7	9	6	6	6	12	0	0
77	184	8	7	6	5	5	8	2	8	4	7	6	6	2	1	5	4	9	5	2	4	12	0	0
72	195	2	7	6	6	5	6	2	2	7	4	6	7	2	7	5	7	7	7	6	5	12	0	0
